订阅数,问题,话题一,话题二,话题三,话题四,话题五,话题六,回答内容,浏览量,赞同数,作者被订阅数,作者回答数,图片数,外链数
2,"What will the Democratic Party do if they fail to realize their ""blue wave"" in the midterms?",Progressive Blue Wave,1!,1!,1!,1!,1!,"If it happens, it happens. It’s a little soon to tell. Reliable metrics page them within 3–5 points ahead nationally in support and approval. Even the very biased Rasmussen poll currently has them ahead by a point.If they lose it, they have themselves to blame. They’ve shut out the young and the new movements sweeping through the party and that’s going to hurt them in the long run.Right now, the best the Democrats can hope for is happening: President Trump saying and doing highly ill-advised actions.What’s far more interesting is the fact that several moderate Republicans are bucking party leadership and acting against the party line.And rightly so-it’s hardliners that are in charge of the GOP right now and that’s getting toxic, fast to many Americans who are seeing the progress they fought for halted and starting to fall back.I would be aware that Newt Gringritch is a Republican. He is going to send hope to those who follow him, so they vote for him. Right now, he is pandering to Trump supporters and I’m really disappointed.He has become what he would have hated twenty years ago. He has sold his soul to this current administration for lucre. And he will, eventually be taken to the trash heap along with the rest of those that support the charlatan in chief.",66,0,33,196,0,0
2,"What will the Democratic Party do if they fail to realize their ""blue wave"" in the midterms?",Progressive Blue Wave,1!,1!,1!,1!,1!,"Heads up: I am definitely more liberal, but tend to vote third party…If the Democrats fail in 2018 to not gain a foothold in at least one house of Congress, then the Democratic Party needs to end.This year should be a shoe in for the Democrats and they are flubbing massively because they really don’t represent the American people, just their donors.They did that by cheating Bernie and they continue to do it by not supporting progressives nationwide, they are not democratic at all and stand but a step to the left of the Republicans, no distinction to the average voter.This is suicide because at least the Republicans have a message of pro-gun, pro-life, the Democrats just say, ‘we’re not them’… so what you’re anti-gun, anti-life…Strategists at the DNC should be permanently unemployable by default if they fail in 2018, easiest chance to swing a house and if they blow it then the Democrats need to be replaces entirely by literally anything, the Pirate Party of America[1] would do a better job in their place.2018, no ‘blue wave’, no more ‘Democrats’Footnotes[1] United States Pirate Party - Wikipedia",55,0,140,"2,333",0,1
2,"What will the Democratic Party do if they fail to realize their ""blue wave"" in the midterms?",Progressive Blue Wave,1!,1!,1!,1!,1!,"Probably hit some more on us pale, stale and male people, while accusing others of being racist, ageist and sexist.The problem here is that you cannot fight identity politics with identity politics in reverse. It is like a jellyfish on the beach: turning it upside down only makes it uglier.Of course there is an ugly reason why the Dems are doing this. They do not want to talk about real problems like our planet being fracked to death.Fracking being a part of the Obama legacy Trump is not trying to undo. Interesting, huh? Lo, do I see the same campaign donors in the distance? The ones with the well-oiled deep pockets?Fracking! The truly bipartisan legacy!",79,0,344,"1,292",0,0
2,"What will the Democratic Party do if they fail to realize their ""blue wave"" in the midterms?",Progressive Blue Wave,1!,1!,1!,1!,1!,"Well, if past performance is any indication of future performance, they will begin by assigning blame.You can figure the rest out.After that pointless exercise they have a choice, either adjust or continue to become marginalized. They will likely chose the latter.Have you noticed that all they say about their opponents seems to happen to them? Projection perhaps? They made a choice, a choice to abandon anypretense of being for the “little man” and have gone hard core leftist (socialist/communist) and grouping people by the color of their skin instead of by the power of their ideas.People, believe it or not, are smarter than that. Their ideas are dieing which is exactly what should happen in a free society. Listen to a JFK speech and you’ll learn what the party once stood for.The dangerous part is what their abused and misinformed supporters might do…..violence against their opponents. That is the last refuge of those without an argument. We saw it with ANTIFA and the so called “resistance”. That will likely happen again if they fail to win the house in 18.If they choose to seriously look at themselves and their ideas they might have a chance. It would be refreshing but I’m not holding my breath, this is an old story.",45,1,20,70,0,0
2,"What will the Democratic Party do if they fail to realize their ""blue wave"" in the midterms?",Progressive Blue Wave,1!,1!,1!,1!,1!,"I don’t know what they will do. I mean, the party got shellacked in 2016, but nothing changed. They doubled down on the same behavior that lost them control of every branch of the federal government. I suspect that if a blue wave doesn’t materialize, they will triple down. It probably will stay like that until the Clintonite old guard, led by Pelosi and Schumer, retire or die.",27,0,15,384,0,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"The military would be disabled and replaced with mental health professionals. We'd be done with killing in the name of power, ego, and control all together. Mental health might would move to schools. That way if children were mentally/ emotionally abused at home, they could be taught physc in its entirety before age 12. The resources would be refocused on mental health and well being in general. Voting and taxes would be revamped to the individual level. Each individual could vote independently on their stance in every issue without voting for a candidate. Each individual that wanted to support social programs could and each that wanted not to wouldn't be forced. The judicial structure would be revamped. Jail time and prison would be educational. Inmates would be required to earn a bachelor's degree and physically work in farming programs to grow crops. Prisons would be self sustaining. Primary focuses would be in education, physical well being, and mental/ emotional well being of all. Charitable work could be done by people with a negative record to wipe it clean. Farms/ gardens would be implemented in schools and communities for food supply. Many programs would become self sustaining through it's participants. Presidents and their role would be done away with. The power structure of government would be distributed among it’s people. Each individual would vote per issue. Mental health screenings would prevent anyone with suicidal or homicidal thoughts, or anger issues from voting. Those people could get a massage, relax, and have some help in dealing with stress to work those issues out before voting. All plants would be legal. Synthetic materials would be controlled substances. Schools would be revamped. Less boring teaching methods.Also, students could decide which courses best matched their interests. Which career paths they were interested in and handpick their courses. It would be catered towards each individual student. Primary focuses would be individual happiness and health. Each individual would be considered equals and as equally important to the health of society. So, each individuals mental, emotional, and physical health would be top priority for a healthy society. Primary focus would be on equalizing all. Elderly, infants, and children as well as teens and adults would be treated with care and concern despite a prior mishap or mistake made in living and learning.",105,4,141,"1,123",1,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"We might join the rest of the civilized world.America started out as the most liberal country in the history of the world. A country made by intellectuals and rebels who founded America based on the concept of individual rights and the idea that government exists only to protect those rights of equality, of life, of liberty, and the right to pursue happiness, among others.Since then t America started out as the most liberal country in the history of the world. A country made by intellectuals and rebels who founded America based on individual rights and the idea that government exists only to protect those rights of equality, of life, of liberty, and the right to pursue happiness.Since then there has been a complete war on liberalism… And if you look at the McCarthy hearings, the witchhunt of Clinton, and the current climate in America of anti-liberalism, it becomes shocking how we have become a culture of intolerance, hatred, and hostile to freedom, individual fart, independent thinking… And return to a level of fundamentalism that could only be embraced by the farthest right wing of a fascist world. .The Christian religion in America has become the party of hatred and intolerance… Cheering on capital punishment, gun possession, intolerance and even hatred for gays and lesbians, destroying the rights of women… The most unchristian people I have ever seen in my life. And they are embraced by the Republicans who have sold their soul to get power.What would happen if liberals came back into existence in America? We would have equality, our society would be seeking ways to find equality for everyone – equal justice under the law, equal rights, equal opportunity of education and career… Nondiscrimination… We would have a country where women got equal pay for equal work, and nobody could be fired or denied a hotel room or denied rental because they are gay or lesbian or a transsexual or black or Latino or Asian…People would make a livable wage – that is to say the minimum wage would be a livable wage. Laborers would have the right of arbitration, and the right to safe working conditions, collective bargaining, and non-arbitration – the right to sue when their civil rights and human rights are being abused.Healthcare would be considered a civil right, and all people would have access to healthcare the way they have it in so many of the civilized countries of the world.Focus and emphasis will be put on education for everyone, to allow for social mobility and for people to be able to pursue their rights given by God.Compassion would be a part of our national policy, in order to help people who are disadvantaged to live up to their potential. Yes… Maybe there would be food stamps and housing and job training to help people who are disadvantaged to achieve the American dream.Money might be put towards education and infrastructure it is now being used to prop up The US military. But we might be thinking in terms of this: America currently spends more money on the military then the next 10 countries put together – that’s Russia, China, Saudi Arabia, Israel, Syria, France, the UK, Jordan, etc.… We wouldn’t be pushing the endless propaganda that we don’t have enough strength in the world. And we wouldn’t be the number one arms seller in the world – selling military grade equipment to impoverished countries and propagating mass murder on the in Norma’s scale that we’re doing it today.If liberals were in power, we would seek to make treaties with the world that respected our allies , and tried to persuade our enemies through diplomacy and treaties.We would focus on the rights of all Americans from birth to death… The right to a safe living conditions, the right to a great education, great healthcare, great opportunities in employment, and senior citizens rights and safety.We would also make it legal for the Center for disease control to study gun violence, in order to prevent deaths and create safety and schools for our children.We would focus on higher education, and on providing job skill training for people who aren’t best suited to higher education. We would focus on global peace and disarmament. The getting rid of nuclear weapons, and the removal of the power of the president to be the sole person to be able to inflict the death of billions.And so much more. But I believe that the only way that that is going to happen, is to play out our current scenario wherein we are spiraling downwards into the abyss of hatred, jingoism, racism, and the reintroduction of the social order. I really feel sorry for America, and for the poor people who still believe there is merit in the fascist fundamentalist ideals of right wing so called Christianity and the Republican Party.",86,1,33,72,0,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"According to Fox News, the day has come and America is in the dog house.Jokes aside, the average American will not be tell the difference. Secret police? All countries have them. No modern government is interested in controlling all aspects of the economy. Certain companies might change ownership or have to report to an additional government body but government regulation is not always a bad thing. Think about food safety standards. Think the mess the unregulated supplement market is doing to America.People always talk about inefficient government services or nationalized companies under left wing government. They will bring up Britain’s decline in economy due to the their nationalized companies. They do not bring up the collapse of the privatized companies performing the similar task. They do not talk about the services that are stagnating while the companies figure more ways to milk the contract.Inefficient civil servants exist both in right wing and left wing governments. Same with opportunistic people. The trick is to choose the fight that the government and the people wants to win.",110,0,58,958,0,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"This is essentially a doomsday scenario. As we all well know, no one, ever, in the history of politics has ever aligned themselves as a collective people, with one political party or ideal. Therefor, my thought on this is, that, if EVERYONE in America were to align themselves as far left leaning, that would surely mean that hell had frozen over. The seas would boil, locusts would rain down, it would be a total, biblical nightmare as I see it.The serious answer? Regardless as to whether or not everyone aligned themselves all to the right or all to the left, at the end of the day, if that’s how they felt that the country should be run and EVERYONE felt that way, well, I guess that Americans would, as a whole, be pretty damned pleased.This is of course, my apolitical opinion and does lack any foundation in truth, research or really anything of substance, really.",98,2,0,8,0,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"Another wired “what if” question.But let’s face it - the USA is as far right as a democracy can be (and probably it is already too right - especially with the current administration). That means, even if someone has rather reasonable views of a government which “serves” society (as it meant to be), people will call this person socialist or even communist (which isn’t the same!).Hence the question really make no sense.“Far left” is also not really defined in the question: is it far left in an American context (which isn’t that much left - in comparison of European countries, this would be rather center-left) - is it far-left in an international context, compared to democracies or far-left in an international context, but based on any government form (this would be communist).Communist is also not equal communist - the world never seen a functioning (and to its core idealistic) communism; hence it makes everything even more complicated.What we could assume, what would happen, if majority of US citizens would become more progressive.And this would probably happen:The military budget would be decreased dramatically.Education, welfare, social programs, social insurances would thrive.Multinational companies and the super rich, would pay more taxes.While the first change, would be not easy for Fortune 500 companies, the chances are, that business would thrive dramatically. Especially the middle class would thrive - and new small businesses would raise.The US would gain far more respect by other countries - with probably would increase their business with the US.A more social foreign policy would focus more on humanitarian aids - which would most probably defuse a lot of crisis areas (especially on the long run).In a longer run, the US would become even farther world leader - as their advanced education system (which would be “free”) would “produce” the intellectual elite of tomorrow.Sounds like a pipe dream? Only because the right have their heads in their asses- and stop social development where ever they can. Progress is mostly hindered by egoism, “money” and bigoted people. The problem is, that people are far more prone to listen to people who are telling them lies and fuel their fears, than people who are giving them hope for a better future.",88,1,102,424,0,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"It would be a disaster. Nothing but schools and hospitals as far as the eye could see. Social services being provided to the most needy! Post secondary education being funded by the government! Universal healthcare, legalization of most drugs and treating addiction like a mental health issue.It's hard to even imagine.",19,2,94,864,0,0
3,What would happen if everyone in America became far left leaning politically?,Left-Wing Politics,Democratic Party (US politics),1!,1!,1!,1!,"Left would be mean Progressive New Deal policies .USA would get a superior healthcare system — one that beats everything everywhere.The Federal Budget would go into permanent surplus …Comically, Trump’s WALL (actually a metal fence under the 2006 Secure Fence Act) would actually come into existence.The boots on the ground nonsense would end — anyone dumb enough to oppose USA would be stopped cold utilizing methods that minimize loss of American lives.Social Security benefits would be increased, so that the elderly need not rely on public assistance (which would reduce that portion of budget without harming people)Minimum wages would be increased to remove entry level workers from public assistance (which would also reduce that portion of budget without harming people) .Right-wing Bigotry would decrease, be eliminated, or, those practicing it would be exposed and not encouraged in the way the Right currently sponsors and encourages hate.The national debt would be paid off.",49,0,193,"2,744",0,0
12,"Libertarians, why are you not a Democrat?",Libertarianism in the United States of America,Libertarians,1!,1!,1!,1!,"In a previous answer[1] , I mention how Republicans aren’t really libertarian on fiscal issues. In this answer I will make the case that Democrats are not libertarian on social issues.Libertarians and Democrats tend to be at the same side at the beginning. It’s when the initial goal has been achieved that they diverge.For example, it is not enough for gay people to marry. For a Democrat:They must marry according to definitions set by the government.Others must serve them.We both want drugs to be legal, but they want to tax and regulate drugs whereas we think people should be able to ingest anything into their own bodies without paying a fee to their rulers.We want to end legally enforced discrimination. But, once that has been achieved, Democrats will find anything they can pass off as discrimination and ban it.We both agree that government should not legislate morality. Christians who are opposed to premarital sex should not force their views on everyone else. Once this is achieved, Democrats want to enforce equality, and (paradoxically) diversity.Ultimately Republicans and Democrats are both willing to throw liberty under the bus at the first sign of dissent. They don’t give a damn about social or economic freedom. For them, humans are chess pieces that can be sacrificed for “the greater good”, not autonomous beings.Footnotes[1] Sayed Hajaj's answer to Libertarians, why are you not a Republican?",1.6k,93,370,521,0,0
12,"Libertarians, why are you not a Democrat?",Libertarianism in the United States of America,Libertarians,1!,1!,1!,1!,"Although I am not a Democrat, I nearly always vote Democrat as the lesser of evils, especially in close elections. What I value most in my political philosophy is individual liberty and civil rights, the classical liberal tradition on which our Constitution was founded: bodily sovereignty, self-ownership, freedom of expression (including the right to protest against the government), freedom of association (including whom we may marry), freedom of (and from!) religion, and equal opportunity to participate in a free market on a level playing field. I find that the Democratic Party shares my socially liberal values much more so than the GOP.The main reason I am not a Democrat is because I’m not a fan of the Nanny State. Democrats support laws to protect me from myself and I don’t need a baby sitter. I don’t want medical procedures, drugs, dietary restrictions, or safety devices inflicted on me “for my own good.” If the Democrats had their way we would probably all be required to wear padded gear and helmets in our own homes, as statistics show that most accidents happen in the home.The Democratic obsession with “safety” and a sincere desire to protect the public has also made them easy prey for lobbyists pushing for more and more regulation, ostensibly to benefit consumers, but in fact to protect the profits of established professionals against competition by restricting entry into their respective fields. While I share the Democratic position that some regulation of banking and industry is a proper function of government in order to protect consumers and employees from force and fraud, they really need to give small businesses and entrepreneurs a break.Speaking of which: taxes. Something that really irks me about my Democratic friends is that nearly all of them treat taxation as a Sacred Cow which must not be questioned or challenged under any circumstances. As an independent contractor/ small business owner who fell right through the alleged “social safety net” due to chronic illness, having managed to claw my way up out of poverty into the just-barely-middle class, when I tell them I am literally being taxed to death, they don’t seem to believe me. When I say that my taxes are too high, I am accused of being selfish and not caring about the poor. Hello, I was the poor until just fairly recently, and now I’m being punished for [barely] escaping from poverty!Having said that, as long as my hard-earned income is going to be extorted anyway, I’d rather see it spent on healthcare, education, libraries, helping the poor and other Democrat supported programs, as opposed to the GOP agenda of ramping up the War on Drugs, keeping more people in prison, corporate welfare and ill advised military actions overseas.But, where I differ with Democrats, and this goes back to the Nanny State, is that they seem to want government to do everything. They can’t conceive of a way to get anything good accomplished aside from instituting more government programs, paperwork and regulations, and robbing the working people in order to pay for it.",369,23,222,558,0,0
